simTime,simDelta,xPos,yPos,zPos,speed,heading,steering,gas,brake,state1,state2,state3,state4,state5,state6,eulerX,eulerY,eulerZ,rpm,gear,leftBlinker,rightBlinker
22.93171,0.016666,-78.79832,104.9427,-0.5030781,27.5175,0.2197627,3.096,0.2705907,0,10,0,0,0,0,8.1,-0.05169604,-0.1988474,0.2197627,1208.599,3,1,1
22.94837,0.016666,-78.59334,104.9435,-0.5030864,27.51219,0.2284467,2.7,0.2705907,0,10,0,0,0,0,8.1,-0.05143923,-0.1984975,0.2284467,1208.332,3,1,1
22.96503,0.016666,-78.38839,104.9444,-0.5030934,27.50686,0.2369777,2.34,0.2705907,0,10,0,0,0,0,8.1,-0.05098303,-0.1982362,0.2369777,1208.101,3,1,1
22.98169,0.016666,-78.18348,104.9454,-0.5030992,27.50154,0.2453452,1.98,0.2705907,0,10,0,0,0,0,8.1,-0.05028656,-0.1980593,0.2453452,1207.985,3,1,1
22.99835,0.016666,-77.97861,104.9463,-0.5031036,27.49622,0.2535347,1.656,0.2705907,0,10,0,0,0,0,8.1,-0.04931915,-0.1979647,0.2535347,1207.599,3,1,1
23.01501,0.016666,-77.77378,104.9473,-0.5031067,27.49089,0.2615282,1.368,0.2705907,0,10,0,0,0,0,8.1,-0.04805829,-0.1979485,0.2615282,1207.458,3,1,1
23.03167,0.016666,-77.56899,104.9483,-0.5031082,27.48559,0.2693048,1.116,0.2705907,0,10,0,0,0,0,8.1,-0.04649354,-0.1980044,0.2693048,1206.957,3,1,1
23.04833,0.016666,-77.36424,104.9494,-0.5031083,27.48028,0.2768417,0.864,0.2705907,0,10,0,0,0,0,8.1,-0.0446269,-0.198128,0.2768417,1206.781,3,1,1
23.06499,0.016666,-77.15953,104.9504,-0.5031068,27.47495,0.2841147,0.684,0.2705907,0,10,0,0,0,0,8.1,-0.04247282,-0.1983151,0.2841147,1206.654,3,1,1
23.08165,0.016666,-76.95486,104.9515,-0.5031039,27.46965,0.2911,0.576,0.2705907,0,10,0,0,0,0,8.1,-0.04005934,-0.1985574,0.2911,1206.222,3,1,1
23.09831,0.016666,-76.75023,104.9526,-0.5030994,27.46434,0.2977749,0.504,0.2705907,0,10,0,0,0,0,8.1,-0.03742627,-0.1988489,0.2977749,1206.117,3,1,1
23.11497,0.016666,-76.54564,104.9537,-0.5030936,27.45902,0.3041185,0.432,0.2705907,0,10,0,0,0,0,8.1,-0.03462317,-0.1991837,0.3041185,1205.958,3,1,1
23.13163,0.016666,-76.34109,104.9548,-0.5030865,27.45371,0.3101131,0.432,0.2705907,0,10,0,0,0,0,8.1,-0.03170802,-0.199554,0.3101131,1205.726,3,1,1
23.14829,0.016666,-76.13657,104.956,-0.5030782,27.44841,0.3157454,0.432,0.2705907,0,10,0,0,0,0,8.1,-0.02874468,-0.1999514,0.3157454,1205.677,3,1,1
23.16495,0.016666,-75.9321,104.9571,-0.5030689,27.44309,0.3210063,0.504,0.2705907,0,10,0,0,0,0,8.1,-0.02579936,-0.2003694,0.3210063,1205.51,3,1,1
23.18161,0.016666,-75.72767,104.9583,-0.5030588,27.4378,0.325892,0.612,0.2705907,0,10,0,0,0,0,8.1,-0.02293776,-0.2008015,0.325892,1205.007,3,1,1
23.19827,0.016666,-75.52327,104.9595,-0.503048,27.43249,0.3304044,0.684,0.2705907,0,10,0,0,0,0,8.1,-0.02022363,-0.201241,0.3304044,1205.053,3,1,1
